PROD_NAME,PROD_NBR,PACK_SIZE,Brand_candidates
Natural Chip Compny SeaSalt175g,5,175,Natural
CCs Nacho Cheese 175g,66,175,CCs
Smiths Crinkle Cut Chips Chicken 170g,61,170,Smiths
Smiths Chip Thinly S/Cream&Onion 175g,69,175,Smiths
Kettle Tortilla ChpsHny&Jlpno Chili 150g,108,150,Kettle
Old El Paso Salsa Dip Tomato Mild 300g,57,300,Old
Smiths Crinkle Chips Salt & Vinegar 330g,16,330,Smiths
Grain Waves Sweet Chilli 210g,24,210,Grain
Doritos Corn Chip Mexican Jalapeno 150g,42,150,Doritos
Grain Waves Sour Cream&Chives 210G,52,210,Grain
Kettle Sensations Siracha Lime 150g,114,150,Kettle
Twisties Cheese 270g,15,270,Twisties
WW Crinkle Cut Chicken 175g,92,175,WW
Thins Chips Light& Tangy 175g,44,175,Thins
CCs Original 175g,54,175,CCs
Burger Rings 220g,94,220,Burger
NCC Sour Cream & Garden Chives 175g,98,175,NCC
Doritos Corn Chip Southern Chicken 150g,93,150,Doritos
Cheezels Cheese Box 125g,56,125,Cheezels
Smiths Crinkle Original 330g,7,330,Smiths
Infzns Crn Crnchers Tangy Gcamole 110g,31,110,Infzns
Kettle Sea Salt And Vinegar 175g,32,175,Kettle
Smiths Chip Thinly Cut Original 175g,111,175,Smiths
Kettle Original 175g,46,175,Kettle
Red Rock Deli Thai Chilli&Lime 150g,13,150,Red
Pringles Sthrn FriedChicken 134g,99,134,Pringles
Pringles Sweet&Spcy BBQ 134g,26,134,Pringles
Red Rock Deli SR Salsa & Mzzrlla 150g,64,150,Red
Thins Chips Originl saltd 175g,22,175,Thins
Red Rock Deli Sp Salt & Truffle 150G,48,150,Red
Smiths Thinly Swt Chli&S/Cream175G,37,175,Smiths
Kettle Chilli 175g,36,175,Kettle
Doritos Mexicana 170g,51,170,Doritos
Smiths Crinkle Cut French OnionDip 150g,107,150,Smiths
Natural ChipCo Hony Soy Chckn175g,106,175,Natural
Dorito Corn Chp Supreme 380g,4,380,Dorito
Twisties Chicken270g,113,270,Twisties
Smiths Thinly Cut Roast Chicken 175g,45,175,Smiths
Smiths Crinkle Cut Tomato Salsa 150g,39,150,Smiths
Kettle Mozzarella Basil & Pesto 175g,102,175,Kettle
Infuzions Thai SweetChili PotatoMix 110g,104,110,Infuzions
Kettle Sensations Camembert & Fig 150g,3,150,Kettle
Smith Crinkle Cut Mac N Cheese 150g,82,150,Smith
Kettle Honey Soy Chicken 175g,88,175,Kettle
Thins Chips Seasonedchicken 175g,40,175,Thins
Smiths Crinkle Cut Salt & Vinegar 170g,73,170,Smiths
Infuzions BBQ Rib Prawn Crackers 110g,87,110,Infuzions
GrnWves Plus Btroot & Chilli Jam 180g,84,180,GrnWves
Tyrrells Crisps Lightly Salted 165g,70,165,Tyrrells
Kettle Sweet Chilli And Sour Cream 175g,89,175,Kettle
Doritos Salsa Medium 300g,101,300,Doritos
Kettle 135g Swt Pot Sea Salt,63,135,Kettle
Pringles SourCream Onion 134g,25,134,Pringles
Doritos Corn Chips Original 170g,47,170,Doritos
Twisties Cheese Burger 250g,71,250,Twisties
Old El Paso Salsa Dip Chnky Tom Ht300g,65,300,Old
Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,33,110,Cobs
Woolworths Mild Salsa 300g,35,300,Woolworths
Natural Chip Co Tmato Hrb&Spce 175g,12,175,Natural
Smiths Crinkle Cut Chips Original 170g,8,170,Smiths
Cobs Popd Sea Salt Chips 110g,75,110,Cobs
Smiths Crinkle Cut Chips Chs&Onion170g,100,170,Smiths
French Fries Potato Chips 175g,29,175,French
Old El Paso Salsa Dip Tomato Med 300g,59,300,Old
Doritos Corn Chips Cheese Supreme 170g,30,170,Doritos
Pringles Original Crisps 134g,81,134,Pringles
RRD Chilli& Coconut 150g,67,150,RRD
WW Original Corn Chips 200g,110,200,WW
Thins Potato Chips Hot & Spicy 175g,28,175,Thins
Cobs Popd Sour Crm &Chives Chips 110g,2,110,Cobs
Smiths Crnkle Chip Orgnl Big Bag 380g,14,380,Smiths
Doritos Corn Chips Nacho Cheese 170g,77,170,Doritos
Kettle Sensations BBQ&Maple 150g,17,150,Kettle
WW D/Style Chip Sea Salt 200g,83,200,WW
Pringles Chicken Salt Crips 134g,68,134,Pringles
WW Original Stacked Chips 160g,96,160,WW
Smiths Chip Thinly CutSalt/Vinegr175g,79,175,Smiths
Cheezels Cheese 330g,23,330,Cheezels
Tostitos Lightly Salted 175g,50,175,Tostitos
Thins Chips Salt & Vinegar 175g,78,175,Thins
Smiths Crinkle Cut Chips Barbecue 170g,1,170,Smiths
Cheetos Puffs 165g,86,165,Cheetos
RRD Sweet Chilli & Sour Cream 165g,53,165,RRD
WW Crinkle Cut Original 175g,72,175,WW
Tostitos Splash Of Lime 175g,74,175,Tostitos
Woolworths Medium Salsa 300g,76,300,Woolworths
Kettle Tortilla ChpsBtroot&Ricotta 150g,9,150,Kettle
CCs Tasty Cheese 175g,91,175,CCs
Woolworths Cheese Rings 190g,105,190,Woolworths
Tostitos Smoked Chipotle 175g,90,175,Tostitos
Pringles Barbeque 134g,109,134,Pringles
WW Supreme Cheese Corn Chips 200g,27,200,WW
Pringles Mystery Flavour 134g,62,134,Pringles
Tyrrells Crisps Ched & Chives 165g,112,165,Tyrrells
Snbts Whlgrn Crisps Cheddr&Mstrd 90g,55,90,Snbts
Cheetos Chs & Bacon Balls 190g,18,190,Cheetos
Pringles Slt Vingar 134g,34,134,Pringles
Infuzions SourCream&Herbs Veg Strws 110g,49,110,Infuzions
Kettle Tortilla ChpsFeta&Garlic 150g,60,150,Kettle
Infuzions Mango Chutny Papadums 70g,38,70,Infuzions
RRD Steak & Chimuchurri 150g,103,150,RRD
RRD Honey Soy Chicken 165g,85,165,RRD
Sunbites Whlegrn Crisps Frch/Onin 90g,95,90,Sunbites
RRD Salt & Vinegar 165g,97,165,RRD
Doritos Cheese Supreme 330g,20,330,Doritos
Smiths Crinkle Cut Snag&Sauce 150g,19,150,Smiths
WW Sour Cream &OnionStacked Chips 160g,21,160,WW
RRD Lime & Pepper 165g,6,165,RRD
Natural ChipCo Sea Salt & Vinegr 175g,80,175,Natural
Red Rock Deli Chikn&Garlic Aioli 150g,58,150,Red
RRD SR Slow Rst Pork Belly 150g,10,150,RRD
RRD Pc Sea Salt 165g,11,165,RRD
Smith Crinkle Cut Bolognese 150g,43,150,Smith
Doritos Salsa Mild 300g,41,300,Doritos
